Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Yahudi,,"Dilip Kumar, Meena Kumari",,,1958,,,3.0
Phir Subah Hogi,,"Raj Kapoor, Mala Sinha",,,1958,,,4.0
Sadhna,,"Sunil Dutt, Vyjayanthimala",,,1958,,,5.0
Phagun,,"Madhubala, Bharat Bhushan",,,1958,,,6.0
Parvarish,,"Raj Kapoor, Mala Sinha",,,1958,,,7.0
Kala Pani,,"Madhubala, Dev Anand",,,1958,,,8.0
Howrah Bridge,,"Madhubala, Ashok Kumar",,,1958,,,9.0
Dilli Ka Thug,,"Kishore Kumar, Nutan",,,1958,,,10.0
12 O'Clock,Pramod Chakravorty,"Guru Dutt, Waheeda Rehman, Shashikala, Johnny Walker",Suspense Romance,,1958,"Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri, Sahir Ludhianvi",,
Aakhri Dao,Mahesh Kaul,"Shekhar, Nutan, Johnny Walker, Shubha Khote, Minu Mumtaz, Shammi",Social,,1958,Music: Madan Mohan Lyrics: Majrooh Sultanpuri,,
Adalat,Kalidas,"Nargis, Pradeep Kumar, Pran, Yakub, Achala Sachdev, Murad",Social Drama,,1958,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Aji Bas Shukriya,Mohammed Husain,"Geeta Bali, Suresh, Johnny Walker, Shubha Khote, Tun Tun, Shammi, Mukri, Agha",Family Drama,,1958,"Music: Roshan Lyrics: Shailendra, Prem Dhawan, Usha Khanna, Faruk Kaiser",,
Alladin Ka Chirag,T. R. Raghunath,"Nageswara Rao, Anjali Devi, Rajasulochana",Fantasy,,1958,Music: S. Rajeswara Rao Lyrics: Pal Premi,,
Al Hilal,Akkoo,"Mahipal, Shakila, Hiralal, Sheikh, Ruby Myers",Action Drama Costume,,1958,Music: Bulo C Rani Lyrics: Shewan Rizvi,,
Amar Deep,T. Prakash Rao,"Dev Anand, Vyjayanthimala, Pran, Padmini, Ragini, Johnny Walker, Om Prakash, David",Social Drama,,1958,Music: C. Ramchandra Lyrics: Rajendra Krishan,,
Baghi Sipahi,Bhagwandas Verma,"Madhubala, Ranjan, Nishi, Om Prakash, Chandrashekhar, Purnima, Gope, Sapru",Action Costume,,1958,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",,
Balyogi Upmanyu,Harsukh Bhatt,"Vinod Kumar, Lalita Pawar, Sulochana, Jeevan, Madan Puri, Kanhaiyalal",Devotional,,1958,Music: Chitragupta Lyrics: Bharat Vyas,,
Bhala Aadmi,Bhagwan,"Bhagwan, Chandrashekhar, Anita Guha, Kumkum, Ulhas, Kumar",Social,,1958,Music: Nisar Bazmi Lyrics: Anand Bakshi,,
Bhola Shikaar,Akkoo,"Kamran, Naazi, Shabnam, G. M. Durrani, Nilofar",Action,,1958,Music: Gyan Dutt Lyrics: Majrooh Sultanpuri,,
Chaalbaaz,Nanabhai Bhatt,"Nirupa Roy, Jairaj, Nishi, Bhagwan, K. N. Singh, Tiwari, Shammi, David",Action,,1958,"Music: Chitragupta Lyrics: Yogesh, Anjum Jaipuri, Prem Dhawan",,
Chalti Ka Naam Gaadi,Satyen Bose,"Kishore Kumar, Madhubala, Ashok Kumar, Anoop Kumar, Veena, K. N. Singh, Cuckoo, Helen",Comedy,,1958,Music: S. D. Burman Lyrics: Majrooh Sultanpuri,,
Chandan,M. V. Raman,"Nutan, Kishore Kumar, Mala Sinha, Pran, Shyama, Karan Dewan, David, K. N. Singh",Family Drama,,1958,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Chandu,Majnu,"Daljit, Shashikala, Om Prakash, Gulab, Pran, Gope, Meena, Sunder, Majnu, Mehmood",Social,,1958,"Music: Bipin Babul Lyrics: Raja Mehdi Ali Khan, Raj Baldev Raj",,
Chaubees Ghante,Dwarka Khosla,"Premnath, Shakeela, Nishi, K. N. Singh, Maruti, Shammi, Sheela Vaz, Kanchanmala",Action Social,,1958,Music: Bipin Babul Lyrics: Raja Mehdi Ali Khan,,
Circus Sundari,"Chandrakant, C. M. Trivedi","Kamini Kaushal, Mahipal, Kamal Kapoor, Tiwari, Maruti",Action Drama,,1958,Music: Avinash Vyas Lyrics: Qamar Jalalabadi,,
Daughter Of Sindbad,Ratilal,"Nadira, Jairaj, Pran, Kamal Kapoor, S. N. Tripathi, Jeevankala",Fantasy Costume,,1958,"Music: Chitragupta Lyrics: Prem Dhawan, Anjum Jaipuri",,
Detective,Shakti Samanta,"Pradeep Kumar, Mala Sinha, Johnny Walker, K. N. Singh, Sulochana, Daisy Irani",Action,,1958,Music: Mukul Roy Lyrics: Shailendra,,
Devar Bhabhi,Kedar Kapoor,"Balraj Sahni, Mala Sinha, Rajendra Kumar, Radhakishen, Sarita, Leela Mishra",Family Drama,,1958,"Music: Ravi Lyrics: Shailendra, Raja Mehdi Ali Khan",,
Dilli Ka Thug,S. D. Narang,"Nutan, Kishore Kumar, Madan Puri, Iftekhar",Comedy Romance,,1958,"Music: Ravi Lyrics: Majrooh Sultanpuri, S.H. Bihari",,
Do Mastane,Harish Tara,"Geeta Bali, Motilal, Nigar Sultana, Begum Para, Sheikh Mukhtar, Johnny Walker, N. A. Ansari, Murad, Tun Tun, Sapru",Social Action Drama,,1958,"Music: Hemant Kumar Lyrics: S.H. Bihari, Indeevar, Kaif Irfani",,
Do Phool,A.R. Kardar,"Master Romi, Baby Naaz, Vijaya Choudhary, David, Agha, Jeevan, Bipin Gupta",Children Drama,,1958,Music: Vasant Desai Lyrics: Hasrat Jaipuri,,
Dulhan,V. M. Vyas,"Nirupa Roy, Raaj Kumar, Nanda, Jeevan, Agha, Manorama, Bhagwan, N. A. Ansari",Family Drama,,1958,"Music: Ravi Lyrics: S.H. Bihari, Pyarelal Santoshi",,
Ek Shola,Chander Saigal,"Pradeep Kumar, Mala Sinha, Naaz, Shubha Khote, Leela Mishra, Nazir Hussain, Jawahar Kaul",Family Drama,,1958,Music: Madan Mohan Lyrics: Majrooh Sultanpuri,,
Farishta,Ravindra Dave,"Ashok Kumar, Meena Kumari, Sohrab Modi, Anita Guha, Nana Palsikar, Murad, Mubarak, Mehmood",Social,,1958,Music: O. P. Nayyar Lyrics: Jan Nisar Akhtar,,
Gaj Gauri,Raja Thakur,"Shahu Modak, Ratnamala, Anant Kumar, Sulochana, Nana Palsikar",Monster Fantasy,,1958,Music: Sudhir Phadke Lyrics: Bharat Vyas,,
Gauri Shankar,Raja Nene,"Trilok Kapoor, Sulochana, Jeevan, Kamal Kapoor, Bimla Kumari",Mythology,,1958,"Music: Shivram Lyrics: Saraswati Kumar Deepak, S.P. Kalla",,
Ghar Grihasti,Gunjal,"Balraj Sahni, Jayshree Gadkar, Naaz, Jugal Kishore, Leela Mishra, Shanta Hublikar, Sunder, Sabita Chatterjee",Family,,1958,Music: Shashank Banerji Lyrics: Pandit Madhur,,
Ghar Sansar,V. M. Vyas,"Nargis, Balraj Sahni, Rajendra Kumar, Johnny Walker, Kumkum, Shammi, Devika, N. A. Ansari",Family Drama,,1958,Music: Ravi Lyrics: Majrooh Sultanpuri,,
Gopichand,Ishwarlal,"Shyama, Shahu Modak, Prem Adib, B. M. Vyas, Durga Khote, Sunder",Costume Drama,,1958,Music: Avinash Vyas Lyrics: Bharat Vyas,,
Great Show Of India,"Chandrakant, C. M. Trivedi","Kamini Kaushal, Mahipal, Kamal Kapoor, Tiwari, Maruti",Action Drama,,1958,Music: Avinash Vyas Lyrics: Qamar Jalalabadi,,
Harishchandra,Dhirubhai Desai,"Shahu Modak, Sulochana, Kanchanmala, Kanhaiyalal",Mythology,,1958,Music: Sushant Bannerji Lyrics: Pandit Madhur,,
Hathkadi,Sudarshan Bhatia,"Motilal, Shakila, Jabeen, Amarnath, Murad, Leela Mishra, Sajjan, Rajan Haksar",Crime Drama,,1958,"Music: Nashad Lyrics: Prem Saxena, Indeevar, Anjaan",,
Howrah Bridge,Shakti Samanta,"Ashok Kumar, Madhubala, K. N. Singh, Om Prakash, Mehmood, Minu Mumtaz, Madan Puri, Helen, Kammo",Thriller Action Romance,,1958,"Music: O. P. Nayyar Lyrics: Hasrat Jaipuri, Qamar Jalalabadi",,
Hum Bhi Kuchh Kam Nahin,Raman B. Desai,"Ranjan, Ameeta, Sumitra Devi, Kanu Roy, Majnu",Action,,1958,"Music: S. D. Batish Lyrics: Anand Bakshi, Kaif Irfani, Sharki Bhopali, Rahil Gorakhpuri",,
Jung Bahadur,G. P. Pawar,"Chandrashekhar, Shashikala, Purnima, Naranjan Sharma, Ram Avatar, Moni Chatterjee",Action Costume,,1958,Music: Avinash Vyas Lyrics: Qamar Jalalabadi,,
Kabhi Andhera Kabhi Ujala,C. P. Dixit,"Nutan, Kishore Kumar, Shekhar, Madan Puri, K. N. Singh, Chitra, Yakub, Lalita Pawar, Helen, Tun Tun",Crime Drama Romance,,1958,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,,
Jailor,Sohrab Modi,"Sohrab Modi, Geeta Bali, Raaj Kumar, Kamini Kaushal, Abhi Bhattacharya, Daisy Irani, Nana Palsikar, Lillian",Social,,1958,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Kala Pani,Raj Khosla,"Dev Anand, Madhubala, Nalini Jaywant, Kishore Sahu, Nazir Hussain, Jayant, Johnny Walker, Krishan Dhawan, Jankidas",Crime Drama Romance,,1958,Dev Anand won the Filmfare Award for Best Actor. Music: S. D. Burman Lyrics: Majrooh Sultanpuri,,
Karigar,Vasant Joglekar,"Ashok Kumar, Nirupa Roy, Om Prakash, Lalita Pawar, Minu Mumtaz, Jagirdar, Helen",Social Family,,1958,Music: C. Ramchandra Lyrics: Rajendra Krishan,,
Khazanchi,P. N. Arora,"Balraj Sahni, Rajendra Kumar, Shyama, Chitra, Helen, Minu Mumtaz, Keshto Mukherjee, Rajan Haksar, Shammi",Family Social,,1958,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Khota Paisa,M. Sadiq,"Johnny Walker, Shyama, Amirbai Karnataki, N. A. Ansari, Jeevan, Cuckoo, Jeevankala",Social,,1958,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Lajwanti,Narendra Suri,"Nargis, Balraj Sahni, Prabhu Dayal, Baby Naaz, Radhakishen, Nazir Kashmiri, Leela Mishra, Mumtaz Begum",Family Social,,1958,The film received Certificate of Merit at the 1959 - National Film Award for Best Feature Film in Hindi. It was nominated for the Palme d'Or for Best Film at the 1959 Cannes Film Festival. Music: S. D. Burman Lyrics: Majrooh Sultanpuri,,
Lala Rookh,Akhtar Siraj,"Talat Mahmood, Shyama, Radhika, Vikram Kapoor, Tun Tun, Jagdish Kanwal",Legend Drama,,1958,Music: Khayyam Lyrics: Kaifi Azmi,,
Light House,G. P. Sippy,"Ashok Kumar, Nutan, Johnny Walker, Nigar Sultana, Naazi",Suspense,,1958,Music: N. Datta Lyrics: Sahir Ludhianvi,,
Madhumati,Bimal Roy,"Dilip Kumar, Vyjayantimala, Johnny Walker, Pran, Jayant, Tiwari, Tarun Bose",Reincarnation Romance,,1958,"Music: Salil Chowdhary Lyrics: Shailendra Madhumathi became the highest-grossing film of 1958. It won 9 Filmfare Awards; including Best Film, Best Director, Best Music Director, Best Female Playback Singer, Best Dialogue, Best Art Direction and Best Cinematographer—the most awards for a film at that time. It also won the National Film Award for Best Feature Film in Hindi.",,
Maalik,S. M. Yusuf,"Talat Mahmood, Suraiya, Lalita Pawar, Prabhu Dayal, Tun Tun, Kumar, Mukri, Malika, Radhakishan, Badri Prasad, Jagdeep",Social Family Drama,,1958,Music: Ghulam Mohammed Lyrics: Shakeel Badayuni,,
Matwala,M A Thirumugam,"Anjali Devi, Ranjan, M. K. Radha, E V Saroja",Action,,1958,Music: R Sudarsanam Lyrics: Hargobind,,
Maya Bazar,Babubhai Mistri,"Mahipal, Anita Guha, B. M. Vyas, Vasantrao Pahelwan",Mythology,,1958,"Music: Chitragupta Lyrics: Indeevar, G. S. Nepali",,
Mehndi,S.M. Yusuf,"Ajit, Jayshree, Veena, Kumar",,,1958,"Music: Ravi Lyrics: Khumar Barabankvi, S. H. Bihari, Kamil Rashid and Sarvar",,
Milan,Kedar Kapoor,"Ajit, Nalini Jaywant, Nishi, Daisy Irani, Helen, Tiwari, Rajendranath, Maruti, Jagdish Kanwal",Drama,,1958,Music: Hansraj Behl Lyrics: Prem Dhawan,,
Miss 1958,Kuldip Kahar,"Suraiya, Karan Dewan, Om Prakash, Krishna Kumari, Madan Puri, Naaz",Social,,1958,"Music: Datta Naik Lyrics: Tanveer Naqvi, Raja Mehdi Ali Khan",,
Mr. Q,K. Parvez,"Bhagwan, Amarnath, Heera Sawant, Tun Tun, Nazir Kashmiri",,,1958,"Music: Manohar Lyrics: Akhtar Romani, Asad Bhopali, Shyam Sarhadi, Muzaffar Shahjahanpuri",,
Mr. Qartoon M.A.,Ved Madan,"Daljeet, Shyama, Johnny Walker, Kumkum, Mehmood, Minu Mumtaz, Raj Mehra, Sheela Vaz",Comedy,,1958,Music: O. P. Nayyar Lyrics: Hasrat Jaipuri,,
Mujrim,O. P. Ralhan,"Shammi Kapoor, Geeta Bali, Padmini, Ragini, Johnny Walker, Tun Tun, Shubha Khote, Kamal Kapoor, Murad",Crime Thriller,,1958,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,,
Naag Champa,Vinod Desai,"Nirupa Roy, Manhar Desai, Lalita Pawar, Sapru, Kammo, Sunder, Maqbul",Fantasy,,1958,Music: Manna Dey Lyrics: Anjaan,,
Naya Kadam,S. P. Kalla,"Balraj Sahni, Bhagwan, Roopmala, Nazir Hussain, Lalita Pawar, Daisy Irani, Sulochana, Naaz, Agha, Sunder",Family Social,,1958,"Music: Shivram Lyrics: S.P. Kalla, Bharat Vyas",,
Naya Paisa,Aspi Irani,"Johnny Walker, Chand Usmani, Krishna Kumari, Tun Tun, Manohar Deepak, Kanchanmala, Mumtaz Ali, Shammi",Social Drama,,1958,"Music: S. Mohinder Lyrics: Raja Mehdi Ali Khan, Verma Malik, Anjaan",,
Night Club,Naresh Saigal,"Ashok Kumar, Kamini Kaushal, Nishi, Mubarak, Helen, Iftekhar, Gope, Dhumal, Maruti",Action,,1958,Music: Madan Mohan Lyrics: Majrooh Sultanpuri,,
Panchayat,Lekhraj Bhakri,"Raaj Kumar, Shyama, Manoj Kumar, Jabeen, Daisy Irani, Kanhaiyalal, Kuldip Kaur, Pandari Bai, Nazir Hussain, Manorama, Leela Mishra, Sunder",Family Social Drama,,1958,Music: Iqbal Qureshi Lyrics: Shakeel Badayuni,,
Parvarish,S. Bannerjee,"Raj Kapoor, Meena Kumari, Mehmood, Lalita Pawar, Nazir Hussain, Radhakishan, Brahm Bhardwaj, Sheela Vaz",Family Social,,1958,Music: Dattaram Wadkar Lyrics: Hasrat Jaipuri,,
Pati Parmeshwar,Manu Desai,"Nirupa Roy, Manhar Desai, Ajit, Sabita Chatterjee, Dulari, Rooplakshmi",Family Drama,,1958,Music: Avinash Vyas Lyrics: Bharat Vyas,,
Phagun,Bibhuti Mitra,"Bharat Bhushan, Madhubala, Nishi, Mehmood, Kammo, Jeevan, Murad, Cuckoo",Social,,1958,Music: O. P. Nayyar Lyrics: Qamar Jalalabadi,,
Phir Subah Hogi,Ramesh Sehgal,"Raj Kapoor, Mala Sinha, Rehman, Leela Chitnis, Tun Tun, Kamal Kapoor, Nana Palsikar, Mubarak, Jagdish Sethi",Social Crime,,1958,Music: Khayyam Lyrics: Sahir Ludhianvi,,
Piya Milan,T. R. Raghunath,"Vyjayantimala, M. N. Rajan, Raja Sulochana, T. K. Ramachandran, Helen, Shree Ram",Romance Drama,,1958,Dubbed from Tamil. Music: Ramesh Lyrics: Hasrat Jaipuri,,
Police,Kalidas,"Madhubala, Pradeep Kumar, Nadira, Om Prakash, Dhumal",Action Romance,,1958,"Music: Hemant Kumar Lyrics: Majrooh Sultanpuri, Neelkanth Tiwari",,
Post Box 999,Ravindra Dave,"Sunil Dutt, Shakila, Purnima, Tiwari, Amarnath, Manorama, Nazir Kashmiri, Narmada Shankar",Action Suspense,,1958,Music: Kalyanji Virji Shah Lyrics: Pyarelal Santoshi,,
Raagini,Rakhan,"Ashok Kumar, Kishore Kumar, Padmini, Jabeen, Nazir Hussain, Achala Sachdev, Iftekhar, Narmada Shankar",Romance Drama,,1958,"Music: O P Nayyar Lyrics: Jan Nisar Akhtar, Qamar Jalalabadi",,
Raj Pratigya,Jaswant Zaveri,"Jairaj, Nirupa Roy, Sabita Chatterjee, B. M. Vyas, Praveen Paul, Sunder, Arvind",Action Costume,,1958,Music: Sanmukh Babu Lyrics: Bharat Vyas,,
Raj Sinhasan,Kundan Kumar,"Mahipal, Ameeta, Chandrashekhar, Shetty, W. M. Khan, Hiralal, Sunder, Kammo, Sheela Vaz, Kanchanmala",Romance Drama Costume,,1958,Music: Chitragupta Lyrics: Anjum Jaipuri,,
Raj Tilak,S. S. Vasan,"Gemini Ganesan, Vyjayanthimala, Padmini, Pran, Lalita Pawar, Durga Khote, Manmohan Krishna, Shammi",Romance Drama Costume,,1958,Music: C. Ramchandra Lyrics: P. L. Santoshi,,
Ram Bhakta Vibishan,Samar Chatterjee,"Nirupa Roy, Shahu Modak, Krishna Kumari, Prem Adib, Bipin Gupta",Devotional,,1958,Music: Ajit Merchant Lyrics: Saraswati Kumar Deepak,,
Anari,,"Raj Kapoor, Nutan",,,1959,,,1.0
Paigham,,"Dilip Kumar, Vyjayantimala, Raaj Kumar",,,1959,,,2.0
Navrang,,"Mahipal, Sandhya",,,1959,,,3.0
Dhool Ka Phool,,"Mala Sinha, Rajendra Kumar",,,1959,,,4.0
Goonj Uthi Shehnai,,"Rajendra Kumar, Ameeta",,,1959,,,5.0
Dil Deke Dekho,,"Shammi Kapoor, Asha Parekh",,,1959,,,6.0
Sujata,,"Sunil Dutt, Nutan",,,1959,,,7.0
Chhoti Bahen,,"Nanda, Balraj Sahni, Rehman",,,1959,,,8.0
Rani Roopmati,,"Nirupa Roy, Bharat Bhushan",,,1959,,,9.0
Chirag Kahan Roshni Kahan,,"Rajendra Kumar, Meena Kumari",,,1959,,,10.0
Insan Jaag Utha,,"Madhubala, Sunil Dutt, Minoo Mumtaz",,,1959,,,11.0
Love Marriage,,"Dev Anand, Mala Sinha",,,1959,,,12.0
Do Ustad,,"Madhubala, Raj Kapoor, Sheikh Mukhtar",,,1959,,,13.0
Ujala,,"Shammi Kapoor, Raaj Kumar, Mala Sinha",,,1959,,,14.0
Kal Hamara Hai,,"Madhubala, Bharat Bhushan, Leela Chitnis",,,1959,,,15.0
Aangan,O. P. Dutta,"Rehman, Ameeta, Chand Usmani, Leela Mishra, Badri Prasad",Family Drama,,1959,"Music: Roshan Lyrics: Rajendra Krishan, Pandit Indra, Avinash",,
Amar Shaheed,B. Ramakrishnaiah Panthulu,"Shivaji Ganeshan, Padmini, Gemini Ganeshan, Ragini",Biographical Patriotic Drama,,1959,Music: Vinod Lyrics: Aziz Kashmiri,,
Anari,Hrishikesh Mukherjee,"Raj Kapoor, Nutan, Lalita Pawar, Motilal, Shubha Khote",Social Romance,,1959,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",,
Ardhangini,Ajit Chakrabarty,"Raaj Kumar, Meena Kumari, Agha, Durga Khote",Family Drama,,1959,Music: Vasant Desai Lyrics: Majrooh Sultanpuri,,
Baap Bete,Raja Paranjpe,"Ashok Kumar, Shyama, Chitra, Ramesh Deo, Jagdeep",Family Drama,,1959,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Baazigar,Nanabhai Bhatt,"Jairaj, Nirupa Roy, Sunder, Helen, Naaz, Tiwari",Action Costume Drama,,1959,Music: Chitragupta Lyrics: Prem Dhawan,,
Bank Manager,Rakhan,"Kamini Kaushal, Shekhar, K. N. Singh, Radhakishan, Tun Tun",Social Family,,1959,"Music: Madan Mohan Lyrics: Jalal Malihabadi, Anwar Farrukhabadi, Indeevar",,
Barkha,"R. Krishnan, Panju","Nanda, Jagdeep, Shubha Khote, Anant Kumar, David, Ulhas",Social Family,,1959,Music: Chitragupta Lyrics: Rajendra Krishan,,
Bedard Zamana Kya Jaane,Babubhai Mistri,"Ashok Kumar, Nirupa Roy, Jabeen, Soodesh Kumar, Pran",Family Social,,1959,Music: Kalyanji Virji Shah Lyrics: Bharat Vyas,,
Bhagwan Aur Shaitaan,Manmohan Sabir,"Sheila Ramani, Jairaj, Sunder, Achala Sachdev, Nazir Kashmiri",,,1959,Music: S. Mohinder Lyrics: Manmohan Sabir,,
Bhai Bahen,G. P. Sippy,"Naaz, Rehman, Daisy Irani, Kamaljeet, Nishi, Johnny Walker, Shammi",Family Drama,,1959,"Music: N. Dutta Lyrics: Sahir Ludhianvi, Raja Mehdi Ali Khan for ""Saare Jahan Se Achha Hindustan Hamara""",,
Black Cat,N. A. Ansari,"Balraj Sahni, Minu Mumtaz, Johnny Walker, N. A. Ansari, Shammi, Tuntun",Thriller Drama,,1959,Music: N. Dutta Lyrics: Jan Nisar Akhtar,,
Blackmailer,Sultan,"Amarnath, Shanta Kumari, Kanchanmala, Johnny Whisky",Suspense Thriller,,1959,Music: Iqbal Lyrics: Bahaar Ajmeri,,
Bus Conductor,Dwarka Khosla,"Premnath, Shyama, Amarnath, Surya Kumar, Sheela Vaz, Kanchanmala, Cuckoo",Social Action,,1959,Music: Bipin Babul Lyrics: Noor Devasi,,
C. I. D. Girl,Ravindra Dave,"Geeta Bali, Balraj Sahni, Subiraj, Mohan Choti, Helen, Kanhaiyalal",Social Action Drama,,1959,"Music: Roshan Lyrics: Anand Bakshi, Hasrat Jaipuri",,
Chacha Zindabad,Om Prakash,"Kishore Kumar, Anita Guha, Om Prakash, Anoop Kumar, Manorama, Bhagwan, Tun Tun, Sunder",Family Comedy,,1959,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Chand,Lekhraj Bhakri,"Meena Kumari, Balraj Sahni, Manoj Kumar, Kuldip Kaur, Vijaya Choudhary, Helen, Sunder",Family Drama,,1959,"Music: Hemant Kumar Lyrics: Shailendra, Bharat Vyas, Akhtar Lakhnavi",,
Chandrasena,Babubhai Mistri,"Mahipal, Krishna Kumari, B. M. Vyas, Kanchanmala, Sunder",Costume Devotional,,1959,Music: Kalyanji Anandji Lyrics: Indeevar,,
Char Dil Char Rahen,Khwaja Ahmad Abbas,"Raj Kapoor, Meena Kumari, Shammi Kapoor, Ajit, Nimmi, KumKum, David, Achala Sachdev, Jairaj",Social Drama Romance,,1959,"Music: Anil Biswas, Lyrics: Sahir Ludhianvi",,
Charnon Ki Dasi,Ramesh Vyas,"Manhar Desai, Nirupa Roy, Jayshree Gadkar, Madan Puri, Amirbai Karnatki, Leela Mishra",Family Drama,,1959,Music: Avinash Vyas Lyrics: Bharat Vyas,,
Chhoti Bahen,L. V. Prasad,"Nanda, Balraj Sahni, Rehman, Shyama",Family Drama,,1959,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Chini Jadugar,Noshir Engineer,"Ajit, Krishna Kumari, Kamran, Sulochana, Nazir Kashmiri",Action,,1959,Music: Shafi M Nagri Lyrics: Akhtar Romani,,
Chirag Kahan Roshni Kahan,Devendra Goel,"Rajendra Kumar, Meena Kumari, Honey Irani, Minu Mumtaz, Madan Puri",Family Drama,,1959,"Music: Ravi Lyrics: Prem Dhawan, Ravi for ""Tim Tim Karte Taare""",,
Circus Queen,Noshir Engineer,"Nadia, John Cawas, Nilofar, Samar Roy",Action Thriller,,1959,Music: Shafi M Nagri Lyrics: Naqsh Lyallpuri,,
Commander,Kedar Kapoor,"Ranjan, Kumkum, Nigar Sultana, Kamal Kapoor, Helen, Tiwari",Action,,1959,Music: Chitragupta Lyrics: Sarshar Sailani,,
Daaka,Nanabhai Bhatt,"Ashok Kumar, Nirupa Roy, Smriti Biswas, Pran",Crime Drama,,1959,"Music: Chitragupta Lyrics: Prem Dhawan, Majrooh Sultanpuri",,
Deep Jalta Rahe,Datta Dharmadhikari,"Abhi Bhattacharya, Sabita Chatterjee, Badri Prasad, Randhir",Drama,,1959,Music: Roshan Lyrics: Shailendra,,
Dhool Ka Phool,Yash Chopra,"Rajendra Kumar, Mala Sinha, Nanda, Manmohan Krishna, Jagdish Raj, Leela Chitnis",Social Family Drama,,1959,Music: N. Dutta Lyrics: Sahir Ludhianvi,,
Didi,N. Narayan Kale,"Sunil Dutt, Shubha Khote, Jayshree, Feroze Khan, Om Prakash, Daisy Irani",Family Drama,,1959,Music: N. Dutta and Sudha Malhotra forTum Mujhe Bhool Bhi Jao Lyrics: Sahir Ludhianvi,,
Dil Deke Dekho,Nasir Hussain,"Shammi Kapoor, Asha Parekh, Rajendra Nath, Sulochana, Raj Mehra",Romance Musical,,1959,Music: Usha Khanna Lyrics: Majrooh Sultanpuri,,
Do Behnen,Kedar Kapoor,"Rajendra Kumar, Shyama, Jabeen, Radhakishen, Mumtaz, Leela Mishra, Chand Usmani, Padmini Priyadarshini",Family Drama,,1959,Music: Vasant Desai Lyrics: Pradeep,,
Do Gunde,V. M. Vyas,"Raaj Kumar, Ajit, Pran, Kumkum, Jayshree Gadkar, Daisy Irani, Subiraj",Action,,1959,Music: Ghulam Mohammad Lyrics: Majrooh Sultanpuri,,
Do Ustad,Tara Harish,"Madhubala, Raj Kapoor, Sheikh Mukhtar, Sulochana, Daisy Irani",Comedy Action,,1959,Music: O. P. Nayyar Lyrics: Qamar Jalalabadi,,
Dr. Z,Jal,"Nirupa Roy, Mahipal, Shakila, Krishna Kumari, Helen, Hiralal",Action Thriller,,1959,Music: Manohar Lyrics: Akhtar Romani,,
Duniya Na Mane,V. Avadhoot,"Mala Sinha, Pradeep Kumar, Sheikh Mukhtar, Sulochana, Daisy Irani, Minu Mumtaz, Helen",Social,,1959,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Ek Armaan Mera,Gunjal,"Jayshree Gadkar, Sohan Kapila, Malika, Sabita Chatterjee",Fantasy,,1959,"Music: S. D. Batish Lyrics: Madhusudan Bhagalpuri, Anand Bakshi, Kaifi Irani",,
Fashionable Wife,B. K. Adarsh,"Abhi Bhattacharya, Jaymala, Anoop Kumar, Nazir Hussain, Radhakrishan, Manorama",Social,,1959,Music: Suresh Talwar Lyrics: Bharat Vyas,,
Forty Days,Dwarka Khosla,"Premnath, Shakila, Nishi, K. N. Singh, Bhagwan, Cuckoo",Action Suspense,,1959,Music: Babul Lyrics; Kaifi Azmi,,
Ghar Ghar Ki Baat,Ravindra Dave,"Suresh, Krishna Kumari",Family Drama,,1959,Music: Kalyanji Virji Shah Lyrics: Gulshan Bawra,,
Gokul Ka Chor,Vasant Painter,"Kumkum, Ratnamala, Mohan Choti, Hiralal, Sulochana",Devotional,,1959,"Music: Sudhir Phadke Lyrics: Narendra Sharma, Qamar Jalalabadi",,
Goonj Uthi Shehnai,Vijay Bhatt,"Rajendra Kumar, Ameeta, Anita Guha, I. S. Johar, Manmohan Krishna, Ulhas, Prem Dhawan",Musical Romance Drama,,1959,Music: Vasant Desai Lyrics: Bharat Vyas,,
Grihalakshmi,Raman B. Desai,"Shahu Modak, Pandharibai, Nazir, Bipin Gupta, Lalita Pawar",Family Drama,,1959,Music: Avinash Vyas Lyrics: Bharat Vyas,,
Guest House,Ravindra Dave,"Ajit, Shakila, Pran, Lalita Pawar, Lillian, Tiwari, Helen",Suspense Drama,,1959,Music: Chitragupta Lyrics: Prem Dhawan,,
Heera Moti,Krishan Chopra,"Balraj Sahni, Nirupa Roy, Shubha Khote, Naaz, Helen",Family Social Drama,,1959,Based On Munshi Premchand's short story: Do Bailon Ki Katha Music: Roshan Lyrics: Prem Dhawan,,
